iter	RMSE
201	265.894269
202	265.6799999
203	265.4018802
204	265.0400599
205	264.8708418
206	264.7028873
207	264.301316
208	264.0452623
209	263.6038295
210	263.0799458
211	262.3055583
212	261.7022491
213	261.2659888
214	261.0918364
215	260.721187
216	260.5316875
217	260.220045
218	259.8843994
219	259.6819189
220	259.2223642
221	258.9983146
222	258.6706367
223	258.5163149
224	258.3539022
225	258.1827038
226	257.8769799
227	257.7203319
228	257.5059516
229	257.1541838
230	256.8840536
231	256.6026835
232	256.2669522
233	256.0989339
234	255.7131601
235	255.5618877
236	255.3567999
237	255.090497
238	254.9457586
239	254.6601411
240	254.4973861
241	254.2250343
242	253.9697435
243	253.8276821
244	253.4486857
245	253.2027263
246	252.7913486
247	252.3590132
248	252.2263991
249	252.0896755
250	251.5581297
251	251.4245678
252	251.203232
253	251.0706135
254	250.521448
255	250.4016739
256	250.1553339
257	249.7545434
258	249.487943
259	249.263694
260	248.7540525
261	248.6249284
262	248.2704768
263	247.9526183
264	247.7339622
265	247.5286237
266	247.4032667
267	246.9818046
268	246.7558575
269	246.6310983
270	246.5088692
271	246.309249
272	245.7920378
273	245.4597281
274	245.2437178
275	245.03455
276	244.914583
277	244.7336011
278	244.6176778
279	244.5020241
280	244.3902433
281	244.0446671
282	243.8367479
283	243.6608206
284	243.5432902
285	243.3293084
286	243.218413
287	242.7934906
288	242.610437
289	242.2154255
290	242.0963323
291	241.9139976
292	241.7953746
293	241.6802722
294	241.567577
295	241.4565365
296	241.3477141
297	241.239084
298	241.0674662
299	240.9619706
300	240.8570227
301	240.7546892
302	240.6541245
303	240.5553034
304	240.4575416
305	240.0687298
306	239.9723942
307	239.8773313
308	239.7842218
309	239.5381295
310	239.2106676
311	239.1184234
312	238.6332088
313	238.541517
314	238.3813851
315	238.2407927
316	238.1518272
317	238.0640432
318	237.7147675
319	237.6281819
320	237.2633729
321	237.074295
322	236.8000235
323	236.7140639
324	236.5381679
325	236.4546688
326	236.2080656
327	235.8505248
328	235.7113481
329	235.4971075
330	235.2875944
331	235.0464365
332	234.659285
333	234.4909912
334	234.2422796
335	234.0144194
336	233.5104668
337	233.3622525
338	233.1941476
339	233.1108355
340	232.847629
341	232.2020065
342	232.0677638
343	231.6440054
344	231.4843745
345	231.3198247
346	230.9155607
347	230.653949
348	230.5198508
349	230.4356866
350	230.2040233
351	230.0340444
352	229.9515616
353	229.7715232
354	229.6367559
355	229.3164957
356	228.97431
357	228.8136804
358	228.6651308
359	228.4617421
360	228.3073416
361	228.1093259
362	227.8787174
363	227.7976806
364	227.7172276
365	227.6371567
366	227.4496397
367	227.320378
368	227.234232
369	226.7269942
370	226.6428992
371	226.5072091
372	226.4241971
373	226.1893392
374	226.1069368
375	225.5662656
376	225.3448381
377	225.0207892
378	224.9002193
379	224.8192241
380	224.6111187
381	224.5303582
382	224.4490885
383	224.3705919
384	224.2536893
385	224.1764013
386	223.8748258
387	223.8011665
388	223.7251959
389	223.6509614
390	223.5768175
391	223.5037731
392	223.4319833
393	223.360926
394	222.8663532
395	222.7959008
396	222.6025154
397	222.4279776
398	222.3584229
399	222.2881765
400	222.2205556
401	222.1534093
402	222.0862284
403	221.8518015
404	221.715188
405	221.651659
406	221.3038219
407	221.2389609
408	221.1750659
409	221.112453
410	221.0087457
411	220.7643162
412	220.7018902
413	220.4548784
414	220.2633498
415	219.8828244
416	219.8225446
417	219.652138
418	219.38829
419	218.918863
420	218.5234801
421	218.4607378
422	218.2820481
423	218.1617842
424	218.0143786
425	217.9535004
426	217.5822182
427	217.4267862
428	217.3680853
429	217.2641594
430	217.0672361
431	217.0059353
432	216.9485155
433	216.8047607
434	216.5764595
435	216.4046868
436	216.2696337
437	216.2091425
438	216.1003012
439	215.9703456
440	215.7860414
441	215.5665347
442	215.5036604
443	215.4349562
444	215.2998537
445	214.8497396
446	214.5034074
447	214.0637922
448	214.0038774
449	213.5272446
450	213.3131551
451	213.2465408
452	213.1306274
453	213.0306025
454	212.819764
455	212.6358434
456	212.5777277
457	212.5168244
458	212.079253
459	211.8068434
460	211.7456076
461	211.6296318
462	211.5694641
463	211.4370375
464	211.379745
465	211.3196221
466	211.260366
467	211.2046629
468	211.1456442
469	210.9816781
470	210.9245091
471	210.8638145
472	210.6014406
473	210.5423263
474	210.4437415
475	210.3916993
476	210.3343543
477	210.2805326
478	210.2278739
479	210.1722313
480	210.0580572
481	210.0024957
482	209.8300188
483	209.749921
484	209.6212801
485	209.1706517
486	208.8751426
487	208.6859057
488	208.6343929
489	208.4734625
490	208.2181357
491	207.9074021
492	207.8533526
493	207.8018977
494	207.6659714
495	207.5686119
496	207.4176023
497	207.3678257
498	207.2157495
499	207.0952485
500	206.9324538
501	206.8377115
502	206.7916177
503	206.6185353
504	206.3019864
505	206.2408808
506	205.9889949
507	205.8441422
508	205.7516844
509	205.5665395
510	205.3762215
511	205.1271811
512	204.9810963
513	204.9272155
514	204.8178051
515	204.7064988
516	204.5823791
517	204.4934247
518	204.4058741
519	204.3082362
520	203.9675463
521	203.9154395
522	203.8646978
523	203.6975245
524	203.4293015
525	202.9885421
526	202.8089547
527	202.7021563
528	202.5986813
529	202.5472917
530	202.276295
531	202.2256316
532	202.0456436
533	201.9591764
534	201.8167399
535	201.7657269
536	201.6207535
537	201.4533241
538	201.3932546
539	201.2769206
540	201.1791471
541	201.0872655
542	200.9549136
543	200.814369
544	200.7643648
545	200.6729323
546	200.5736293
547	200.3548443
548	200.1233641
549	199.9851555
550	199.9278167
551	199.7626071
552	199.6982465
553	199.4599231
554	199.2175461
555	199.0550621
556	199.0054179
557	198.8034722
558	198.7546307
559	198.6571966
560	198.6114007
561	198.5630656
562	198.4057677
563	198.322216
564	198.2155886
565	198.1250546
566	197.8178951
567	197.5792782
568	197.5226761
569	197.351416
570	197.0311016
571	196.9510477
572	196.8503339
573	196.8044121
574	196.7534557
575	196.6944561
576	196.6470397
577	196.5691382
578	196.4672132
579	196.331568
580	196.2877085
581	196.2376366
582	196.0036004
583	195.9569215
584	195.9104111
585	195.8644056
586	195.7880449
587	195.5840333
588	195.4753715
589	195.3735732
590	195.0641312
591	194.9131264
592	194.8676136
593	194.593504
594	194.4525402
595	194.3774438
596	194.1710231
597	194.0668053
598	193.9820275
599	193.8571853
600	193.8083245
601	193.7353228
602	193.6321371
603	193.3625068
604	193.3141045
605	193.2690723
606	193.2213068
607	193.0359942
608	192.9291588
609	192.6804359
610	192.5520353
611	192.3166254
612	192.1353351
613	192.0906005
614	192.0431642
615	191.7786806
616	191.6870864
617	191.4842676
618	191.3928768
619	191.2907402
620	191.139592
621	190.9898627
622	190.9459543
623	190.8307914
624	190.6466464
625	190.5742265
626	190.5301571
627	190.4829265
628	190.4362437
629	190.1537859
630	190.1073403
631	190.0652894
632	189.8311484
633	189.7885201
634	189.6028148
635	189.5341474
636	189.3347659
637	189.2892071
638	189.2048878
639	189.1376413
640	189.0922857
641	188.9197505
642	188.8339078
643	188.7919938
644	188.7471757
645	188.6421181
646	188.5468691
647	188.2732933
648	187.992462
649	187.943407
650	187.7921736
651	187.7109364
652	187.4954402
653	187.1447129
654	187.0647451
655	186.8823719
656	186.7092372
657	186.6678536
658	186.5982978
659	186.557397
660	186.4496233
661	186.4057797
662	186.3651479
663	186.222883
664	186.1126198
665	186.0046581
666	185.9643784
667	185.9167632
668	185.8768156
669	185.8091001
670	185.7694853
671	185.7138371
672	185.6430548
673	185.5211832
674	185.4414747
675	185.3924805
676	185.2713284
677	185.146893
678	185.0604855
679	184.7682466
680	184.6884461
681	184.5870203
682	184.5448898
683	184.5022883
684	184.270024
685	184.2324917
686	184.1661252
687	184.1164899
688	184.0741987
689	183.9196537
690	183.8547902
691	183.8125474
692	183.7475598
693	183.6953518
694	183.6553647
695	183.5348146
696	183.4358329
697	183.3396185
698	183.2564459
699	183.134659
700	182.8653366
701	182.8262503
702	182.7830779
703	182.7185553
704	182.6085385
705	182.5154897
706	182.4098514
707	182.3681328
708	182.1985594
709	182.1563506
710	182.0666758
711	181.8328955
712	181.7048825
713	181.6685229
714	181.6298832
715	181.2861759
716	181.245558
717	181.1308133
718	181.0895436
719	181.0504531
720	180.9870015
721	180.9067831
722	180.6110383
723	180.5695352
724	180.4043456
725	180.2966302
726	180.2579304
727	180.217296
728	180.1524397
729	180.0482121
730	179.8559037
731	179.7910699
732	179.6162214
733	179.3689861
734	179.3280177
735	179.2877089
736	179.2528366
737	179.2130525
738	178.986121
739	178.9201
740	178.880411
741	178.8404399
742	178.7999488
743	178.5907129
744	178.5515353
745	178.4676181
746	178.4252587
747	178.3643469
748	178.3277112
749	178.2889685
750	178.250063
751	178.0734749
752	178.0318941
753	177.9964549
754	177.9053649
755	177.8669023
756	177.7748086
757	177.7148876
758	177.6608179
759	177.5302973
760	177.3858231
761	177.3465516
762	177.3108428
763	177.2700157
764	177.1277376
765	177.0298496
766	176.9919752
767	176.8676087
768	176.8132788
769	176.7062014
770	176.6685611
771	176.5843184
772	176.3568281
773	176.2888032
774	176.2540073
775	176.214371
776	176.1196592
777	176.0822906
778	176.0255936
779	175.9883765
780	175.9515836
781	175.7911654
782	175.5809454
783	175.5192577
784	175.4621337
785	175.4273751
786	175.3687479
787	175.3247415
788	175.2687681
789	175.2317076
790	175.1505152
791	175.1146129
792	175.0767226
793	175.0389853
794	174.979875
795	174.9473503
796	174.7273438
797	174.6876369
798	174.5433971
799	174.5064361
800	174.4476737
801	174.3531599
802	174.3162723
803	174.2160087
804	174.1319066
805	174.0827708
806	174.0052014
807	173.9682662
808	173.8525564
809	173.8163289
810	173.780401
811	173.6873258
812	173.6213248
813	173.5855379
814	173.5336783
815	173.5006727
816	173.4649563
817	173.3791839
818	173.3439279
819	173.3094017
820	173.1838342
821	173.0378619
822	173.0030922
823	172.8720931
824	172.8183513
825	172.7844678
826	172.5615924
827	172.4388854
828	172.3763463
829	172.3383558
830	172.0645286
831	171.9191488
832	171.881
833	171.8028943
834	171.7653981
835	171.7128377
836	171.6607322
837	171.5941962
838	171.5567408
839	171.4794864
840	171.4429228
841	171.3311735
842	171.1548154
843	171.1195736
844	171.062226
845	171.0283489
846	170.9629504
847	170.9125941
848	170.8759136
849	170.8424276
850	170.6511563
851	170.4614502
852	170.4271882
853	170.3765599
854	170.3168532
855	170.2824258
856	170.1819281
857	170.1476366
858	170.1153488
859	170.0829072
860	170.0112244
861	169.9805839
862	169.8153571
863	169.7057429
864	169.6702179
865	169.6384249
866	169.5860836
867	169.5491763
868	169.4380118
869	169.4054546
870	169.2839154
871	169.2474703
872	169.1904943
873	169.106574
874	169.072116
875	169.0244032
876	168.98733
877	168.9609182
878	168.9253664
879	168.8941934
880	168.8608686
881	168.8267541
882	168.7929514
883	168.6258491
884	168.4347905
885	168.4017571
886	168.3715236
887	168.3430421
888	168.2742585
889	168.1950113
890	168.1632724
891	168.1342023
892	168.0263741
893	167.8914486
894	167.8402612
895	167.809744
896	167.6647893
897	167.6327498
898	167.6003851
899	167.5124851
900	167.3322632
901	167.3003158
902	167.2678717
903	167.2191663
904	167.036069
905	167.0065234
906	166.977541
907	166.9289743
908	166.8969906
909	166.8297797
910	166.6523037
911	166.6089474
912	166.5788901
913	166.5480526
914	166.4475512
915	166.4006474
916	166.3725011
917	166.3424894
918	166.3131131
919	166.2229443
920	166.1911647
921	166.1611193
922	166.1150092
923	165.9980971
924	165.9690854
925	165.937557
926	165.7961973
927	165.7454958
928	165.716312
929	165.6582079
930	165.6141679
931	165.5826997
932	165.5046954
933	165.4731547
934	165.2386117
935	165.2070701
936	165.17618
937	165.1455924
938	165.1146095
939	165.0705549
940	165.0396067
941	164.9144893
942	164.8878035
943	164.8589078
944	164.7483143
945	164.7217059
946	164.6914827
947	164.6608468
948	164.5956667
949	164.4202402
950	164.3312704
951	164.304262
952	164.2642376
953	164.2006878
954	164.1725061
955	164.1134552
956	164.0855055
957	163.9209026
958	163.8909977
959	163.7113077
960	163.6809219
961	163.6074252
962	163.5182089
963	163.4603304
964	163.4300847
965	163.4016955
966	163.3739833
967	163.3230327
968	163.0842912
969	163.0233824
970	162.9956096
971	162.9680673
972	162.8532672
973	162.6495852
974	162.6197063
975	162.4060984
976	162.3808929
977	162.3513258
978	162.1866726
979	162.1137319
980	162.0856894
981	161.9219753
982	161.8315455
983	161.8037042
984	161.7749287
985	161.7458657
986	161.5517911
987	161.4752651
988	161.3935408
989	161.3511637
990	161.2811304
991	161.2237577
992	161.0981966
993	160.9835711
994	160.9563624
995	160.9255091
996	160.8122779
997	160.7849256
998	160.7555831
999	160.6410393
